recipe_slug	score_estimate
falafel	0.69554377
spamburger	0.69554377
bacon-fried-rice	0.69554377
chicken-fingers	0.69554377
apple-crisp	0.69554377
cranberry-apple-crisp	0.69554377
bacon-chocolate-chip-cookies	0.69554377
sujebi	0.69554377
pasta-primavera	0.69554377
ramen	0.69554377
brownies	0.69554377
bacon-wrapped-scallops	0.69554377
bacon-egg-muffins	0.69554377
breakfast-burritos	0.69554377
bolognese-sauce	0.69554377
croissants	0.69554377
bacon-souffle	0.69554377
souffle	0.69554377
chocolate-souffle	0.69554377
butter-croissants	0.69554377
pickled-green-beans	0.69554377
fried-oysters	0.69554377
peanut-butter-brownies	0.69554377
almond-chip-cookies	0.69554377
guacamole	0.69554377
brioche-bread	0.69554377
brioche-bread-with-chocolate	0.69554377
asparagus-quiche	0.69554377
asparagus-burger	0.69554377
ma-la-chicken	0.69554377
cold-noodles-with-tomatoes	0.69554377
tamales	0.69554377
enchiladas	0.69554377
tacos	0.69554377
burritos	0.69554377
peanut-butter-cupcakes	0.69554377
pickled-asparagus	0.69554377
chocolate-peanut-butter-cake	0.69554377
udon	0.69554377
vegetable-lasagna	0.69554377
maple-bacon-donuts	0.69554377
maple-bacon-pancakes	0.69554377
spinach-and-ricotta-stuffed-shells	0.69554377
quesadillas	0.69554377
pico-de-gallo	0.69554377
nachos	0.69554377
cold-soba-noodles-with-tomato-and-cucumber	0.69554377
fajitas	0.69554377
loaded-nachos	0.69554377
lasagna	0.69554377
chicken-nuggets	0.69554377
pain-au-chocolat	0.69554377
nacho-dip	0.69554377
nacho-salad	0.69554377
nacho-casserole	0.69554377
nacho-fries	0.69554377
tempura-udon	0.69554377
peach-crisp	0.69554377
apple-pie	0.69554377
blueberry-crisp	0.69554377
berry-crumble	0.69554377
strawberry-rhubarb-crisp	0.69554377
peach-cobbler	0.69554377
cranberry-sauce	0.69554377
cherry-cobbler	0.69554377
apple-crumble	0.69554377
chocolate-croissants	0.69554377
french-toast	0.69554377
chocolate-babka	0.69554377
cinnamon-babka	0.69554377
blueberry-crumble	0.69554377
spam-musubi	0.69554377
taco-salad	0.69554377
chiles-rellenos	0.69554377
almond-croissants	0.69554377
cranberry-relish	0.69554377
ma-la-beef	0.69554377
chocolate-cake	0.69554377
spinach-quiche	0.69554377
mushroom-quiche	0.69554377
quiche-lorraine	0.69554377
croissant-aux-amandes	0.69554377
danishes	0.69554377
spinach-and-feta-quiche	0.69554377
cold-sesame-noodles	0.69554377
soba-noodle-salad-with-peanut-dressing	0.69554377
dan-dan-noodles	0.69554377
vanilla-souffle	0.69554377
bacon-wrapped-dates	0.69554377
cherry-pie	0.69554377
berry-crisp	0.69554377
bacon-and-egg-breakfast-sandwich	0.69554377
bacon-wrapped-shrimp-skewers	0.69554377
bacon-wrapped-chicken	0.69554377
bacon-wrapped-asparagus	0.69554377
bacon-mac-and-cheese	0.69554377
chicken-alfredo-lasagna	0.69554377
classic-beef-lasagna	0.69554377
vegetarian-mushroom-lasagna	0.69554377
spinach-and-ricotta-lasagna	0.69554377
