recipe_slug	bias	alfredo	almond	american	appetizer	appetizers	apple	asiancuisine	asparagus	avocado	bacon	baked	bakeddishes	bakery	baking	beans	beef	bellpeppers	berries	blackbeans	blackvinegar	blueberry	boiledeggs	bokchoy	braided	bread	breaded	breakfast	breakfastpastry	brioche	broiling	brownies	brownsugar	brunch	burger	burritos	buttery	cake	carrots	casserole	celebration	cheese	cheesy	cherry	chicken	chickpeas	chilioil	chilipowder	chinese	chinesecookingwine	chinesecuisine	chocolate	chocolatechip	chocolatecroissant	christmas	cilantro	cinnamon	citrus	classic	cloves	cobbler	cocoapowder	coffee	cold	coldnoodles	comfortfood	condiment	cookies	corn	cranberry	creamcheese	creamy	crisp	crispy	croissant	croissants	crumble	crust	cucumber	cumin	cupcakes	custard	custardy	customizable	danish	dashibroth	dates	decadent	dessert	dinner	dip	donuts	easterneuropean	easy	easydinner	egg	eggs	eggwhites	fajitaseasoning	fall	familyfriendly	fastfood	fetacheese	filling	fingerfood	flaky	french	frenchcuisine	frenchpastry	fresh	fried	friedfood	friedrice	fries	frosting	fruit	fudgy	gamedayfood	ganache	garlic	ginger	glutenfree	goldenbrown	greenbeans	greenonion	greenonions	grill	grilled	grilling	groundbeef	gruyere	gruyerecheese	guacamole	hamandcheese	hamburger	handheld	handtorndough	hawaii	hawaiian	healthy	herbs	holiday	homemade	indulgent	italian	italiancuisine	jalapenos	japanesecuisine	juicy	ketchup	keto	kidfriendly	koreancuisine	laminateddough	lasagna	lattice	lettuce	lime	loadednachos	lowcarb	lunch	macandcheese	maple	maplesyrup	masa	mayonnaise	meal	mealprep	meat	meatsauce	mexican	mexicancuisine	mexicanfood	middleeastern	miso	muffins	mushroom	mushrooms	nachos	noodles	noodlesoup	nori	numbing	nutmeg	oat	oats	onion	onions	onthego	oven	oysters	pacificislands	pancakes	parmesan	partyfood	pasta	pastasauce	pastry	pastrycrust	peach	peanutbutter	peanutdressing	peanuts	peppers	pickledvegetables	pie	piecrust	pork	porkbelly	potatoes	protein	puffpastry	quiche	quick	ramen	refreshing	relish	rhubarb	rice	ricevinegar	rich	ricotta	salad	salsa	salty	sandwich	sauce	savory	scallions	scallops	seafood	sesame	sesameoil	sesameseeds	shrimp	sichuancuisine	sichuanpeppercorns	sidedish	sidedishes	skewers	smoky	snack	snacks	sobanoodles	soft	souffle	soup	sourcream	southern	southerncuisine	soysauce	spam	spices	spicy	spicyfood	spinach	spring	steamed	stirfry	strawberry	streetfood	stuffedpeppers	summer	sushi	sweet	sweetandsalty	sweetandsavory	sweettreat	taco	tacos	tangy	tart	tea	tempura	tender	texmex	thanksgiving	toast	tomato	tomatoes	tomatosauce	tortilla	tortillabowl	tortillachips	tortillas	traditional	twisted	udonnoodles	vanilla	vanillaicecream	vegan	vegetables	vegetarian	warm	whippedcream	winter	yeastdough
falafel	1																																																																																																																																																																																																																																																																																																								
spamburger	1																																																																																																																																																																																																																																																																																																								
bacon-fried-rice	1																																																																																																																																																																																																																																																																																																								
chicken-fingers	1																																																																																																																																																																																																																																																																																																								
apple-crisp	1																																																																																																																																																																																																																																																																																																								
cranberry-apple-crisp	1																																																																																																																																																																																																																																																																																																								
bacon-chocolate-chip-cookies	1																																																																																																																																																																																																																																																																																																								
sujebi	1																																																																																																																																																																																																																																																																																																								
pasta-primavera	1																																																																																																																																																																																																																																																																																																								
ramen	1																																																																																																																																																																																																																																																																																																								
brownies	1																																																																																																																																																																																																																																																																																																								
bacon-wrapped-scallops	1																																																																																																																																																																																																																																																																																																								
bacon-egg-muffins	1																																																																																																																																																																																																																																																																																																								
breakfast-burritos	1																																																																																																																																																																																																																																																																																																								
bolognese-sauce	1																																																																																																																																																																																																																																																																																																								
croissants	1																																																																																																																																																																																																																																																																																																								
bacon-souffle	1																																																																																																																																																																																																																																																																																																								
souffle	1																																																																																																																																																																																																																																																																																																								
chocolate-souffle	1																																																																																																																																																																																																																																																																																																								
butter-croissants	1																																																																																																																																																																																																																																																																																																								
pickled-green-beans	1																																																																																																																																																																																																																																																																																																								
fried-oysters	1																																																																																																																																																																																																																																																																																																								
peanut-butter-brownies	1																																																																																																																																																																																																																																																																																																								
almond-chip-cookies	1																																																																																																																																																																																																																																																																																																								
guacamole	1																																																																																																																																																																																																																																																																																																								
brioche-bread	1																																																																																																																																																																																																																																																																																																								
brioche-bread-with-chocolate	1																																																																																																																																																																																																																																																																																																								
asparagus-quiche	1																																																																																																																																																																																																																																																																																																								
asparagus-burger	1																																																																																																																																																																																																																																																																																																								
ma-la-chicken	1																																																																																																																																																																																																																																																																																																								
cold-noodles-with-tomatoes	1																																																																																																																																																																																																																																																																																																								
tamales	1																																																																																																																																																																																																																																																																																																								
enchiladas	1																																																																																																																																																																																																																																																																																																								
tacos	1																																																																																																																																																																																																																																																																																																								
burritos	1																																																																																																																																																																																																																																																																																																								
peanut-butter-cupcakes	1																																																																																																																																																																																																																																																																																																								
pickled-asparagus	1																																																																																																																																																																																																																																																																																																								
chocolate-peanut-butter-cake	1																																																																																																																																																																																																																																																																																																								
udon	1																																																																																																																																																																																																																																																																																																								
vegetable-lasagna	1																																																																																																																																																																																																																																																																																																								
maple-bacon-donuts	1																																																																																																																																																																																																																																																																																																								
maple-bacon-pancakes	1																																																																																																																																																																																																																																																																																																								
spinach-and-ricotta-stuffed-shells	1																																																																																																																																																																																																																																																																																																								
quesadillas	1																																																																																																																																																																																																																																																																																																								
pico-de-gallo	1																																																																																																																																																																																																																																																																																																								
nachos	1																																																																																																																																																																																																																																																																																																								
cold-soba-noodles-with-tomato-and-cucumber	1																																																																																																																																																																																																																																																																																																								
