recipe_slug	score_bound	reward
falafel	2.0	0.0
spamburger	1.4142135623730951	0.75
bacon-fried-rice	1.4047005383792515	0.75
chicken-fingers	1.375	0.75
apple-crisp	1.344427190999916	1.0
cranberry-apple-crisp	1.3581632475943928	1.0
bacon-chocolate-chip-cookies	1.3630718031613114	1.0
sujebi	1.3633567811865475	0.0
pasta-primavera	1.25	0.75
ramen	1.2324555320336759	0.0
brownies	1.1484772346100727	1.0
bacon-wrapped-scallops	1.1606836025229592	0.75
bacon-egg-muffins	1.1508540423790752	0.75
breakfast-burritos	1.1416653409677058	0.75
bolognese-sauce	1.133064446160989	0.0
croissants	1.078125	0.75
bacon-souffle	1.073306544190313	0.75
souffle	1.0686267430132539	1.0
chocolate-souffle	1.0772525203727026	1.0
butter-croissants	1.0847135954999578	0.75
pickled-green-beans	1.0792929233291275	0.0
fried-oysters	1.0400377963475846	0.0
peanut-butter-brownies	1.00398534985328	1.0
almond-chip-cookies	1.0124149571305296	1.0
guacamole	1.02	0.0
brioche-bread	0.9883861164302142	0.0
brioche-bread-with-chocolate	0.9589742535338246	1.0
asparagus-quiche	0.9672501872949415	0.75
asparagus-burger	0.9662182625610003	0.0
ma-la-chicken	0.9401483716701107	0.75
cold-noodles-with-tomatoes	0.9398557653438724	0.0
tamales	0.9160533905932737	0.75
enchiladas	0.9163371300932139	0.75
tacos	0.9165265820497235	0.75
burritos	0.9166331304628352	0.75
peanut-butter-cupcakes	0.9166666666666667	1.0
pickled-asparagus	0.9233925692053092	0.5
chocolate-peanut-butter-cake	0.9165481054194198	1.0
udon	0.9228204101742767	0.5
vegetable-lasagna	0.9162277660168379	0.75
maple-bacon-donuts	0.9160060603625779	0.75
maple-bacon-pancakes	0.9157495570670409	0.75
spinach-and-ricotta-stuffed-shells	0.9154622569442791	0.75
quesadillas	0.9151477082141273	0.75
pico-de-gallo	0.9148090636666386	0.5
nachos	0.9090143470924029	0.75
cold-soba-noodles-with-tomato-and-cucumber	0.9087512595915338	0.5
fajitas	0.9032584679281462	0.75
loaded-nachos	0.9030612244897959	0.75
lasagna	0.902842712474619	0.75
chicken-nuggets	0.902605036413445	0.75
pain-au-chocolat	0.9023500981126146	1.0
nacho-dip	0.9067965995954912	0.75
nacho-salad	0.906424786235168	0.5
nacho-casserole	0.9014981268034787	0.75
nacho-fries	0.9011898133409958	0.75
tempura-udon	0.9008713836937106	0.5
peach-crisp	0.8962335553746175	1.0
apple-pie	0.900208330436224	1.0
blueberry-crisp	0.9040322230804945	1.0
berry-crumble	0.907713104128087	1.0
strawberry-rhubarb-crisp	0.91125831851651	1.0
peach-cobbler	0.9146747280378975	1.0
cranberry-sauce	0.91796875	0.5
cherry-cobbler	0.9134540845630322	1.0
apple-crumble	0.9166375274132109	1.0
chocolate-croissants	0.9197120230409687	1.0
french-toast	0.9226826838598624	0.5
chocolate-babka	0.9183079380555964	1.0
cinnamon-babka	0.9211885790097358	1.0
blueberry-crumble	0.9239760499486298	1.0
spam-musubi	0.926674482617738	0.5
taco-salad	0.9224384587758228	0.5
chiles-rellenos	0.9183060882984494	0.75
almond-croissants	0.9176067743425169	0.5
cranberry-relish	0.9136262601863513	0.5
ma-la-beef	0.9097393347374576	0.5
chocolate-cake	0.9059425863160987	1.0
spinach-quiche	0.9085618839826731	0.75
mushroom-quiche	0.9079817977499789	0.75
quiche-lorraine	0.9074074074074074	0.75
croissant-aux-amandes	0.9068386619057907	0.5
danishes	0.9032634597384168	1.0
spinach-and-feta-quiche	0.9057178902359924	0.75
cold-sesame-noodles	0.9051657519363032	0.5
soba-noodle-salad-with-peanut-dressing	0.9017120580347838	0.5
dan-dan-noodles	0.8983305529445704	0.5
vanilla-souffle	0.8950188981737922	1.0
bacon-wrapped-dates	0.8973928344282383	0.75
cherry-pie	0.896929621789003	1.0
berry-crisp	0.8992174069048232	1.0
bacon-and-egg-breakfast-sandwich	0.9014491966657705	0.75
bacon-wrapped-shrimp-skewers	0.9009387260428593	0.75
bacon-wrapped-chicken	0.9004331854219715	0.75
bacon-wrapped-asparagus	0.899932512522294	0.75
bacon-mac-and-cheese	0.8994366452319316	0.75
chicken-alfredo-lasagna	0.8989455216865176	0.75
classic-beef-lasagna	0.8984590803390136	0.75
vegetarian-mushroom-lasagna	0.8979772600215394	0.5
spinach-and-ricotta-lasagna	0.895	0.75
